[2021-09-10 07:12:53,794] - [root] - [ERROR] - Username should be string. (AtCoder_Crawler.py:11)
[2021-09-10 07:13:08,872] - [root] - [INFO] - #Username: Koios1143 #ProblemID: dp_a. (AtCoder_Crawler.py:17)
[2021-09-10 07:13:08,872] - [root] - [INFO] - Fetching Submissions ... (AtCoder_Crawler.py:22)
[2021-09-10 07:13:09,299] - [root] - [INFO] - Successfully Get Submission list. (AtCoder_Crawler.py:27)
[2021-09-10 07:13:29,354] - [root] - [INFO] - #Username: Koios1143 #ProblemID: dp_a. (AtCoder_Crawler.py:17)
[2021-09-10 07:13:29,354] - [root] - [INFO] - Fetching Submissions ... (AtCoder_Crawler.py:22)
[2021-09-10 07:13:29,552] - [root] - [INFO] - Successfully Get Submission list. (AtCoder_Crawler.py:27)
[2021-09-10 07:13:29,555] - [root] - [INFO] - Successfully Get Status #AtCoderdp_a #Koios1143 #AC (AtCoder_Crawler.py:50)
[2021-09-10 07:13:46,728] - [root] - [INFO] - #Username: Koios1143 #ProblemID: dp_c. (AtCoder_Crawler.py:17)
[2021-09-10 07:13:46,728] - [root] - [INFO] - Fetching Submissions ... (AtCoder_Crawler.py:22)
[2021-09-10 07:13:46,936] - [root] - [INFO] - Successfully Get Submission list. (AtCoder_Crawler.py:27)
[2021-09-10 07:13:46,937] - [root] - [INFO] - Successfully Get Status #AtCoderdp_c #Koios1143 #AC (AtCoder_Crawler.py:50)
[2021-09-10 08:16:59,497] - [root] - [INFO] - Successfully Get Submissions. (Codeforces_Crawler.py:33)
[2021-09-10 08:17:10,385] - [root] - [INFO] - Successfully Get Submissions. (Codeforces_Crawler.py:33)
[2021-09-10 08:22:24,678] - [root] - [INFO] - Successfully Get Submissions. (Codeforces_Crawler.py:33)
[2021-09-11 00:48:17,296] - [root] - [INFO] - Successfully Get Submissions. (Codeforces_Crawler.py:33)
[2021-09-11 00:52:42,289] - [root] - [INFO] - Successfully Get Submissions. (Codeforces_Crawler.py:35)
[2021-09-11 00:54:57,529] - [root] - [INFO] - Successfully Get Submissions. (Codeforces_Crawler.py:35)
[2021-09-11 00:55:23,484] - [root] - [INFO] - Successfully Get Submissions. (Codeforces_Crawler.py:36)
[2021-09-11 00:56:55,944] - [root] - [INFO] - Successfully Get Submissions. (Codeforces_Crawler.py:36)
[2021-09-11 00:59:49,716] - [root] - [INFO] - Successfully Get Submissions. (Codeforces_Crawler.py:36)
[2021-09-11 01:00:33,555] - [root] - [INFO] - Successfully Get Submissions. (Codeforces_Crawler.py:36)
[2021-09-11 01:01:07,384] - [root] - [INFO] - Successfully Get Submissions. (Codeforces_Crawler.py:36)
[2021-09-11 01:01:30,163] - [root] - [INFO] - Successfully Get Submissions. (Codeforces_Crawler.py:33)
[2021-09-11 01:07:23,722] - [root] - [INFO] - Successfully Get Submissions. (Codeforces_Crawler.py:33)
[2021-09-11 01:07:23,724] - [root] - [INFO] - Successfully Get Status. #Codeforces231C #Koios1143 #AC. (Codeforces_Crawler.py:68)
[2021-09-11 08:23:06,178] - [root] - [INFO] - Successfully Get Submissions. (Codeforces_Crawler.py:34)
[2021-09-11 08:23:06,183] - [root] - [INFO] - Successfully Get Status. #Codeforces231C #Koios1143 #AC. (Codeforces_Crawler.py:69)
[2021-09-11 09:04:41,060] - [root] - [INFO] - Successfully Get Status. #TOJ95 #2313 #AC. (TOJ_Crawler.py:34)
[2021-09-11 09:10:09,714] - [root] - [INFO] - Successfully Get Status. #TOJ21 #2313 #NE. (TOJ_Crawler.py:50)
[2021-09-11 09:10:25,990] - [root] - [INFO] - Successfully Get Status. #TOJ78 #2313 #WA. (TOJ_Crawler.py:65)
[2021-09-11 09:12:03,522] - [root] - [INFO] - Successfully Get Status. #TOJ540 #2479 #TLE. (TOJ_Crawler.py:65)
[2021-09-14 10:26:30,068] - [root] - [INFO] - Start Worker 0 (Master.py:68)
[2021-09-14 10:26:30,068] - [root] - [ERROR] - UserID should be integer. (UVa_Crawler.py:11)
[2021-09-14 10:26:30,068] - [root] - [INFO] - Start Worker 1 (Master.py:68)
[2021-09-14 10:26:30,068] - [root] - [ERROR] - UserID should be integer. (UVa_Crawler.py:11)
[2021-09-14 10:26:30,068] - [root] - [INFO] - Start Worker 2 (Master.py:68)
[2021-09-14 10:26:30,069] - [root] - [ERROR] - UserID should be integer. (UVa_Crawler.py:11)
[2021-09-14 10:26:30,069] - [root] - [INFO] - Start Worker 3 (Master.py:68)
[2021-09-14 10:26:30,070] - [root] - [ERROR] - ProblemNum should be integer (TIOJ_Crawler.py:15)
[2021-09-14 10:26:30,070] - [root] - [INFO] - Start Worker 4 (Master.py:68)
[2021-09-14 10:26:30,071] - [root] - [INFO] - Start Worker 5 (Master.py:68)
[2021-09-14 10:26:30,072] - [root] - [INFO] - Start Worker 6 (Master.py:68)
[2021-09-14 10:26:30,072] - [root] - [INFO] - Start Worker 7 (Master.py:68)
[2021-09-14 10:26:30,072] - [root] - [INFO] - Start Worker 8 (Master.py:68)
[2021-09-14 10:26:30,073] - [root] - [INFO] - Start Worker 9 (Master.py:68)
[2021-09-14 10:26:30,073] - [root] - [INFO] - Worker 0 Done. (Master.py:73)
[2021-09-14 10:26:30,073] - [root] - [INFO] - Worker 1 Done. (Master.py:73)
[2021-09-14 10:26:30,073] - [root] - [INFO] - Worker 2 Done. (Master.py:73)
[2021-09-14 10:26:30,073] - [root] - [INFO] - Worker 3 Done. (Master.py:73)
[2021-09-14 10:26:30,073] - [root] - [INFO] - Worker 4 Done. (Master.py:73)
[2021-09-14 10:26:30,073] - [root] - [INFO] - Worker 5 Done. (Master.py:73)
[2021-09-14 10:26:30,073] - [root] - [INFO] - Worker 6 Done. (Master.py:73)
[2021-09-14 10:26:30,073] - [root] - [INFO] - Worker 7 Done. (Master.py:73)
[2021-09-14 10:26:30,074] - [root] - [INFO] - Worker 8 Done. (Master.py:73)
[2021-09-14 10:26:30,074] - [root] - [INFO] - Worker 9 Done. (Master.py:73)
[2021-09-14 10:26:30,074] - [root] - [INFO] - All Workers Done. (Master.py:75)
[2021-09-14 10:30:35,341] - [root] - [INFO] - Start Worker 0 (Master.py:68)
[2021-09-14 10:30:35,341] - [root] - [ERROR] - UserID should be integer. (UVa_Crawler.py:11)
[2021-09-14 10:30:35,341] - [root] - [INFO] - Start Worker 1 (Master.py:68)
[2021-09-14 10:30:35,342] - [root] - [ERROR] - UserID should be integer. (UVa_Crawler.py:11)
[2021-09-14 10:30:35,342] - [root] - [INFO] - Start Worker 2 (Master.py:68)
[2021-09-14 10:30:35,342] - [root] - [ERROR] - UserID should be integer. (UVa_Crawler.py:11)
[2021-09-14 10:30:35,342] - [root] - [INFO] - Start Worker 3 (Master.py:68)
[2021-09-14 10:30:35,343] - [root] - [ERROR] - ProblemNum should be integer (TIOJ_Crawler.py:15)
[2021-09-14 10:30:35,343] - [root] - [INFO] - Start Worker 4 (Master.py:68)
[2021-09-14 10:30:35,345] - [root] - [INFO] - Start Worker 5 (Master.py:68)
